pattern_id,code,pattern,length,density,frequency,found_in
P013,JPPP,- - X X | X X X X | X X X X | X X X X,16,14,257,"ทยอยญวน เถา, เขมรราชบุรี สามชั้น, เทพบรรทม เถา, สี่บท เถา, ระบำอู่ทอง, บังใบ เถา, แขกขาว เถา, เขมรใหญ่ สามชั้น …+67"
P014,NNNN,- X X X | - X X X | - X X X | - X X X,16,12,224,"บุหลัน เถา, ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ภิรมย์สุรางค์ เถา, แขกขาว เถา, มอญรำดาบ เถา, ทยอยใน เถา, ราตรีประดับดาว เถา, พม่าห้าท่อน หกชั้น …+62"
P015,ODNI,- - - - | - - - X | - X X X | - X - X,16,6,215,"ทยอยนอก สามชั้น, ทะเลบ้า เถา, เขมรราชบุรี สามชั้น, แขกโอด สามชั้น, ทยอยใน เถา, เชิดจีน, โอ้ลาว เถา, บังใบ เถา …+47"
P016,NPPL,- X X X | X X X X | X X X X | X X - X,16,14,180,"เขมรราชบุรี สามชั้น, ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ทะเลบ้า เถา, สี่บท เถา, กลม, บังใบ เถา, ทยอยใน เถา, เรื่องสีนวล (หลวงบำรุงจิตรเจริญ) …+42"
P017,PPPL,X X X X | X X X X | X X X X | X X - X,16,15,166,"พม่าห้าท่อน หกชั้น, โหมโรงกราวนอก, ทยอยนอก สามชั้น, พม่าห้าท่อน สามชั้น, ทยอยใน เถา, ใบ้คลั่ง เถา, ต่อยรูป เถา, แขกลพบุรี สามชั้น …+27"
P018,IINI,- X - X | - X - X | - X X X | - X - X,16,9,136,"ฉิ่งเรื่องพระฉันเช้า (ยิกิน), เรื่องสีนวล (หลวงบำรุงจิตรเจริญ), ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), ช้าเรื่องสร้อยสน (พระนคร), ช้าเรื่องขอมดำดิน, พญาเดิน, เหาะ, ช้าเรื่องจีนแส (พระนคร) …+45"
P019,NPNP,- X X X | X X X X | - X X X | X X X X,16,14,125,"ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ช้าเรื่องจีนแส (พระนคร), สี่บท เถา, โสมส่องแสง เถา, โหมโรงแขกมอญทางหลีก, โหมโรงไอยเรศ สามชั้น, ระบำนกเขามะราปี, โหมโรงขวัญเมือง …+40"
P020,OIII,- - - - | - X - X | - X - X | - X - X,16,6,124,"เรื่องสีนวล (หลวงบำรุงจิตรเจริญ), รำวงมาตรฐาน, ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), สร้อยลำปาง เถา, ลาวดวงเดือน สองชั้น, ระบำดอกบัว, ระบำไกรลาศสำเริง, ชมดงใน สองชั้น …+39"
P021,NPLL,- X X X | X X X X | X X - X | X X - X,16,13,119,"พม่าห้าท่อน สามชั้น, ตับต้นเพลงฉิ่ง, เทพรัญจวน เถา, จระเข้หางยาว เถา (ทางเสภา), ช้าเรื่องสร้อยสน (พระนคร), แขกมอญ เถา, แขกโอด สามชั้น, ทะเลบ้า เถา …+49"
P022,JIBL,- - X X | - X - X | - X - - | X X - X,16,8,117,"ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), โหมโรงพม่าวัด, โหมโรงทะแย, จีนลั่นถัน เถา, ระบำดาวดึงส์, เทพรัญจวน เถา, การเวกเล็ก เถา, นาคราช สองชั้น …+24"
P023,NINI,- X X X | - X - X | - X X X | - X - X,16,10,114,"ฉิ่งเรื่องพระฉันเช้า (ยิกิน), เรื่องสีนวล (หลวงบำรุงจิตรเจริญ), ช้าเรื่องตะนาว (พระนคร), ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), พญาเดิน, เข้าม่าน, กราวใน, คุกพาทย์ …+32"
P024,ILIL,- X - X | X X - X | - X - X | X X - X,16,10,113,"ฉิ่งเรื่องพระฉันเช้า (ยิกิน), สาธุการ, โอ้ลาว เถา, ระบำสี่บท, ตระหญ้าปากคอก, เชิด สองชั้น, เขมรโพธิสัตว์ เถา, ตระปลายพระลักษมณ์ …+38"
